name,name_kana,lat,lng,region,series,categories,description,key
がんばっていきまっしょい,,33.8395188,132.7653521,愛媛県,がんばっていきまっしょい,公式選定|エリア,松山市(愛媛県)。『がんばっていきまっしょい』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「がんばっていきまっしょい」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,がんばっていきまっしょい
きみの色,,32.6951424,128.8408104,長崎県,きみの色,公式選定|エリア,五島市(長崎県)。『きみの色』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「きみの色」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,きみの色
こちら葛飾区亀有公園前派出所,,35.7433912,139.8473472,東京都,こちら葛飾区亀有公園前派出所,Wikipedia由来|エリア,葛飾区(東京都)。『こちら葛飾区亀有公園前派出所』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『ど根性ガエル』の舞台としても記録されている。(出典: ja.wikipedia「こちら葛飾区亀有公園前派出所」)(出典: ja.wikipedia のカテゴリ),こちら葛飾区亀有公園前派出所
さよなら私のクラマー,,35.9754168,139.4160114,埼玉県,さよなら私のクラマー,公式選定|エリア,埼玉県。『さよなら私のクラマー』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「さよなら私のクラマー」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,さよなら私のクラマー
じゃりン子チエ,,34.6937569,135.5014539,大阪府,じゃりン子チエ,Wikipedia由来|エリア,大阪市(大阪府)。『じゃりン子チエ』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『難波金融伝・ミナミの帝王』・『クッキングパパ』・『ジョゼと虎と魚たち』・『りゅうおうのおしごと!』・『名探偵コナン 世紀末の魔術師』・『陽だまりの樹』・『あぶさん』・『おしりかじり虫』・『アベノ橋魔法☆商店街』・『ちびまる子ちゃん イタリアから来た少年』・『ハンドシェイカー』・『W'z《ウィズ》』・『名探偵コナン 大怪獣ゴメラVS仮面ヤイバー』の舞台としても記録されている。(出典: ja.wikipedia「じゃりン子チエ」)(出典: ja.wikipedia のカテゴリ),じゃりン子チエ
その着せ替え人形は恋をする,,35.8616141,139.6455666,埼玉県,その着せ替え人形は恋をする,公式選定|エリア,さいたま市(埼玉県)。『その着せ替え人形は恋をする』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「その着せ替え人形は恋をする」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,その着せ替え人形は恋をする
それゆけ!宇宙戦艦ヤマモト・ヨーコ,,35.7746029,139.8045163,東京都,それゆけ!宇宙戦艦ヤマモト・ヨーコ,Wikipedia由来|エリア,足立区(東京都)。『それゆけ!宇宙戦艦ヤマモト・ヨーコ』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「それゆけ!宇宙戦艦ヤマモト・ヨーコ」)(出典: ja.wikipedia のカテゴリ),それゆけ!宇宙戦艦ヤマモト・ヨーコ
ちはやふる,,35.0177852,135.8548122,滋賀県,ちはやふる,Wikipedia由来|エリア,大津市(滋賀県)。『ちはやふる』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『曇天に笑う』・『さよならララ』の舞台としても記録されている。(出典: ja.wikipedia「ちはやふる」)(出典: ja.wikipedia のカテゴリ),ちはやふる
ちびまる子ちゃん,,34.9751974,138.3831697,静岡県,ちびまる子ちゃん,Wikipedia由来|エリア,静岡市(静岡県)。『ちびまる子ちゃん』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『レプリカだって、恋をする。』・『シグルイ』・『ガンダムビルドファイターズ』・『星屑テレパス』・『模型戦士ガンプラビルダーズ ビギニングG』・『ゴールFH』の舞台としても記録されている。(出典: ja.wikipedia「ちびまる子ちゃん」)(出典: ja.wikipedia のカテゴリ),ちびまる子ちゃん
とある科学の超電磁砲,,35.7139057,139.4077701,東京都,とある科学の超電磁砲,公式選定|エリア,立川市(東京都)。『とある科学の超電磁砲』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: アニメツーリズム協会)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,とある科学の超電磁砲
ひぐらしのなく頃に(白川八幡神社),,36.2548741,136.9056899,岐阜県,ひぐらしのなく頃に,公式選定,白川八幡神社(岐阜県)。『ひぐらしのなく頃に』の舞台のモデルとされる。(出典: ja.wikipedia「ひぐらしのなく頃に」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ひぐらしのなく頃に(白川八幡神社)
ひぐらしのなく頃に(白川郷),,36.2573454,136.9068317,岐阜県,ひぐらしのなく頃に,公式選定,白川郷(岐阜県)。『ひぐらしのなく頃に』の舞台のモデルとされる。(出典: ja.wikipedia「ひぐらしのなく頃に」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ひぐらしのなく頃に(白川郷)
ひなビタ♪,,35.430166,133.825525,鳥取県,ひなビタ♪,公式選定|エリア,倉吉市(鳥取県)。『ひなビタ♪』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: アニメツーリズム協会)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ひなビタ♪
ぼっち・ざ・ろっく!,,35.6469025,139.652531,東京都,ぼっち・ざ・ろっく!,公式選定|エリア,世田谷区(東京都)。『ぼっち・ざ・ろっく!』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「ぼっち・ざ・ろっく!」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ぼっち・ざ・ろっく!
ぼっち・ざ・ろっく!,,35.4503381,139.6343802,神奈川県,ぼっち・ざ・ろっく!,公式選定|エリア,横浜市(神奈川県)。『ぼっち・ざ・ろっく!』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「ぼっち・ざ・ろっく!」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ぼっち・ざ・ろっく!_2
ぽんのみち,,34.4088519,133.2051549,広島県,ぽんのみち,Wikipedia由来|エリア,尾道市(広島県)。『ぽんのみち』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『かみちゅ!』・『ソラとウミのアイダ』の舞台としても記録されている。(出典: ja.wikipedia「ぽんのみち」)(出典: ja.wikipedia のカテゴリ),ぽんのみち
まんだら屋の良太,,33.8829996,130.8749015,福岡県,まんだら屋の良太,Wikipedia由来|エリア,北九州市(福岡県)。『まんだら屋の良太』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「まんだら屋の良太」)(出典: ja.wikipedia のカテゴリ),まんだら屋の良太
やくならマグカップも,,35.7867449,137.0460777,岐阜県,やくならマグカップも,公式選定|エリア,岐阜県。『やくならマグカップも』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「やくならマグカップも」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,やくならマグカップも
やはり俺の青春ラブコメはまちがっている。,,35.6070629,140.1062653,千葉県,やはり俺の青春ラブコメはまちがっている。,公式選定|エリア,千葉市(千葉県)。『やはり俺の青春ラブコメはまちがっている。』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「やはり俺の青春ラブコメはまちがっている。」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,やはり俺の青春ラブコメはまちがっている。
ゆるキャン△,,35.7161549,139.3611337,東京都,ゆるキャン△,公式選定,モリパーク アウトドアヴィレッジ(東京都)。『ゆるキャン△』の舞台のモデルとされる。(出典: ja.wikipedia「ゆるキャン△」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ゆるキャン△
らき☆すた,,36.0999753,139.6548687,埼玉県,らき☆すた,公式選定,鷲宮神社(埼玉県)。『らき☆すた』の舞台のモデルとされる。作中の陵桜学園高等学校のモデルは春日部共栄高等学校（春日部市内）。(出典: ja.wikipedia「らき☆すた」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,らき☆すた
るろうに剣心 -明治剣客浪漫譚-,,35.0115754,135.7681441,京都府,るろうに剣心 -明治剣客浪漫譚-,Wikipedia由来|エリア,京都市(京都府)。『るろうに剣心 -明治剣客浪漫譚-』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『桃源暗鬼』・『四畳半神話大系』・『青のミブロ』・『舞妓さんちのまかないさん』・『たまこまーけっと』・『夜は短し歩けよ乙女』・『名探偵コナン から紅の恋歌』・『一休さん』・『名探偵コナン 迷宮の十字路』・『有頂天家族』・『犬王』・『継母の連れ子が元カノだった』・『であいもん』・『お〜い!竜馬』・『四畳半タイムマシンブルース』、ほか21作品の舞台としても記録されている。(出典: ja.wikipedia「るろうに剣心 -明治剣客浪漫譚-」)(出典: ja.wikipedia のカテゴリ),るろうに剣心 -明治剣客浪漫譚-
アイドル事変,,37.9163757,139.0365062,新潟県,アイドル事変,Wikipedia由来|エリア,新潟市(新潟県)。『アイドル事変』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「アイドル事変」)(出典: ja.wikipedia のカテゴリ),アイドル事変
アンゴルモア 元寇合戦記,,33.1154683,129.7874339,長崎県,アンゴルモア 元寇合戦記,公式選定|エリア,長崎県。『アンゴルモア 元寇合戦記』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「アンゴルモア 元寇合戦記」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,アンゴルモア 元寇合戦記
ウマ娘 シンデレラグレイ,,35.7867449,137.0460777,岐阜県,ウマ娘 シンデレラグレイ,公式選定|エリア,岐阜県。『ウマ娘 シンデレラグレイ』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「ウマ娘 シンデレラグレイ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ウマ娘 シンデレラグレイ
ガラスの仮面,,35.4503381,139.6343802,神奈川県,ガラスの仮面,Wikipedia由来|エリア,横浜市(神奈川県)。『ガラスの仮面』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。同じ地点が『株式会社マジルミエ』・『恋は雨上がりのように』・『コクリコ坂から』・『とっとこハム太郎』・『吸血鬼すぐ死ぬ』・『スクライド』・『デジモンセイバーズ』・『ヨコハマ買い出し紀行』・『ネコぱら』・『名探偵コナン 江戸川コナン失踪事件 〜史上最悪の2日間〜』・『プリティーリズム・オーロラドリーム』・『あいつとララバイ』・『金色のコルダ』・『超速変形ジャイロゼッター』・『ぶっちぎり?!』、ほか10作品の舞台としても記録されている。(出典: ja.wikipedia「ガラスの仮面」)(出典: ja.wikipedia のカテゴリ),ガラスの仮面
ガールズ&パンツァー,,36.3133375,140.5747222,茨城県,ガールズ&パンツァー,公式選定|エリア,大洗町(茨城県)。『ガールズ&パンツァー』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「ガールズ&パンツァー」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ガールズ&パンツァー
ガールズバンドクライ(CLUB CITTA'),,35.5278488,139.6972305,神奈川県,ガールズバンドクライ,公式選定,CLUB CITTA'(神奈川県)。『ガールズバンドクライ』最終話で対バンイベントの会場として登場するライブハウス。(出典: ja.wikipedia「ガールズバンドクライ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ガールズバンドクライ(CLUB CITTA')
ガールズバンドクライ(ちどり公園),,35.5124459,139.7587599,神奈川県,ガールズバンドクライ,公式選定,ちどり公園(神奈川県)。『ガールズバンドクライ』第11話で描かれるロックフェスティバル「BAYCAMP」の会場。(出典: ja.wikipedia「ガールズバンドクライ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,ガールズバンドクライ(ちどり公園)
