name,name_kana,prefecture,municipality,lat,lng,rank,category,description,official_url
三峯神社,,埼玉県,,35.9257246,138.929866,A,神社,三峯神社（みつみねじんじゃ）は、埼玉県秩父市三峰にある神社。旧社格は県社で、現在は神社本庁の別表神社。,
三井寺（園城寺）,,滋賀県,,35.0133901,135.8528467,A,寺院,園城寺（おんじょうじ）は、滋賀県大津市園城寺町にある天台寺門宗の総本山の寺院。山号は長等山（ながらさん）。,
仁和寺,,京都府,京都市,35.0297494,135.7140311,A,寺院,仁和寺（にんなじ）は、京都市右京区御室大内にある真言宗御室派の総本山の寺院。山号は大内山。,
下鴨神社,,京都府,,35.0369731,135.7727345,A,神社,,
圓教寺,,兵庫県,姫路市,34.8888373,134.6576603,A,寺院,圓教寺（円教寺、えんぎょうじ）は、兵庫県姫路市書写にある天台宗の別格本山の寺院。山号は書寫山（書写山）。,
天龍寺,,京都府,,35.0161665,135.6746179,A,寺院,天龍寺（てんりゅうじ）は、京都市右京区嵯峨天龍寺芒ノ馬場町にある臨済宗天龍寺派の大本山の寺院。山号は霊亀山（れいぎざん）。,
太宰府天満宮,,福岡県,,33.5212486,130.5369429,A,神社,太宰府天満宮（だざいふてんまんぐう）は、福岡県太宰府市宰府（さいふ）にある神社。近代社格制度による旧社格は官幣中社で、現在は神社本庁の別表神社。,
龍安寺,,京都府,,35.0334933,135.7180571,A,寺院,,
投入堂,,鳥取県,,35.3963963,133.9599397,A,寺院,投入堂（なげいれどう）は、鳥取県東伯郡三朝町にある木造建築物。,
富士山本宮浅間大社,,静岡県,富士宮市,35.2273066,138.6101708,A,神社,富士山本宮浅間大社（ふじさんほんぐうせんげんたいしゃ）は、静岡県富士宮市にある神社。式内社（名神大社）、駿河国一宮。,
熊野本宮大社,,和歌山県,,33.8403988,135.7736668,A,神社,,
深大寺,,東京都,,35.6674305,139.5503387,A,寺院,深大寺（じんだいじ）は、東京都調布市深大寺元町にある仏教寺院。天台宗別格本山で、山号は浮岳山。,
高徳院,,神奈川県,鎌倉市,35.3165116,139.5358246,A,寺院,,
日枝神社,,東京都,,35.6746457,139.739932,A,神社,日枝神社（ひえじんじゃ）は、東京都千代田区永田町二丁目にある、山王信仰の神社。山王さま等とも呼ばれ、江戸三大祭の一つ、山王祭が行われる。,
唐招提寺,,奈良県,,34.6758632,135.7853862,A,寺院,唐招提寺（とうしょうだいじ）は、奈良県奈良市五条町にある律宗の総本山の寺院。山号はなし。,
久能山東照宮,,静岡県,静岡市,34.9647856,138.4675976,A,神社,久能山東照宮（くのうざんとうしょうぐう）は、日本の静岡市駿河区根古屋に所在する神社である。,
北野天満宮,,京都府,,35.0302384,135.7348654,A,神社,北野天満宮（きたのてんまんぐう、英: Kitano-Tenmangu Shrine）は、京都市上京区にある神社（天満宮）。二十二社（下八社）の一社。,
妙心寺,,京都府,,35.0234314,135.7202166,A,寺院,妙心寺（みょうしんじ）は、京都市右京区花園妙心寺町にある臨済宗妙心寺派の大本山の寺院。山号は正法山。,
南禅寺,,京都府,,35.0116224,135.7926827,A,寺院,南禅寺（なんぜんじ）は、京都市左京区南禅寺福地町にある臨済宗南禅寺派の大本山の寺院。山号は瑞龍山。,
大聖院,,広島県,,34.2917429,132.3185618,A,寺院,大聖院（だいしょういん）は広島県廿日市市宮島町にある真言宗御室派の大本山の寺院。山号は多喜山（たきざん、「滝山」とも）、多喜山大聖院水精寺（すいしょうじ）と号する。,
富岡八幡宮,,東京都,,35.6715882,139.799754,A,神社,富岡八幡宮（とみおかはちまんぐう）は、東京都江東区富岡にある八幡神社。通称で深川八幡宮（ふかがわはちまんぐう）とも称される。,
知恩院,,京都府,,35.0055155,135.78324,A,寺院,知恩院（ちおんいん）は、京都市東山区林下町にある浄土宗の総本山の寺院。山号は華頂山（かちょうざん）。,
稲荷神社,,秋田県,,39.4885515,140.5415612,A,神社,稲荷神社（いなりじんじゃ）・稲荷社（いなりしゃ）は、稲荷神を祀る神社。京都市伏見区深草にある伏見稲荷大社が神道上の稲荷神社の総本宮となっている。,
築地本願寺,,東京都,中央区,35.6665791,139.7721306,A,寺院,,
東福寺,,京都府,,34.9771669,135.7752757,A,寺院,東福寺（とうふくじ）は、京都市東山区本町十五丁目にある臨済宗東福寺派の大本山の寺院。山号は慧日山（えにちさん）。,
建仁寺,,京都府,,35.0001782,135.7746022,A,寺院,建仁寺（けんにんじ）は、京都市東山区にある臨済宗建仁寺派の大本山の寺院。山号は東山（とうざん）。,
中尊寺,,岩手県,,39.0009727,141.103602,A,寺院,中尊寺（ちゅうそんじ）は、岩手県西磐井郡平泉町にある天台宗東北大本山の寺院。奥州三十三観音番外札所。,
上賀茂神社,,京都府,,35.0603405,135.7525539,A,神社,,
貴船神社,,京都府,,35.1218145,135.7629968,A,神社,,
穴守稲荷神社,,東京都,,35.550272,139.7494664,A,神社,穴守稲荷神社（あなもりいなりじんじゃ）は、東京都大田区羽田にある稲荷神社。祭神は豊受姫命。,
八方除 寒川神社,,神奈川県,寒川町,35.3790142,139.38316,A,神社,寒川神社（さむかわじんじゃ）は、神奈川県高座郡寒川町宮山に鎮座する神社。相模國一之宮。,
長谷寺,,奈良県,,34.5350967,135.9067334,A,寺院,,
泉涌寺,,京都府,,34.9784535,135.7802444,A,寺院,泉涌寺（せんにゅうじ）は、京都市東山区泉涌寺山内町にある真言宗泉涌寺派の総本山の寺院。山号は東山（とうざん）または泉山（せんざん）。,
豊国神社,,京都府,,34.9913418,135.7723519,A,神社,,
當麻寺,,奈良県,,34.5159946,135.6944964,A,寺院,當麻寺（たいまでら、常用漢字体：当麻寺）は、奈良県葛城市當麻にある真言宗・浄土宗二宗の寺院。法号は禅林寺。,
三嶋大社,,静岡県,三島市,35.121854,138.9190723,A,神社,三嶋大社（みしまたいしゃ、三島大社）は、静岡県三島市大宮町にある神社。式内社（名神大社）、伊豆国一宮、伊豆国総社。,
生國魂神社行宮,,大阪府,,34.6823424,135.5112403,A,神社,,
鞍馬寺,,京都府,,35.1178389,135.7707261,A,寺院,,
室生寺,,奈良県,,34.5379679,136.0406198,A,寺院,室生寺（むろうじ）は、奈良県宇陀市室生にある真言宗室生寺派の大本山の寺院。山号は宀一山（べんいちさん）または檉生山（むろうさん）。,
二荒山神社,,栃木県,日光市,36.7583924,139.5963813,A,神社,日光二荒山神社（にっこうふたらさんじんじゃ）は、栃木県日光市にある神社。式内社（名神大社）論社、下野国一宮。,
二荒山神社中宮祠,,栃木県,日光市,36.7416026,139.4876546,A,神社,,
大石寺,,静岡県,,35.2803961,138.5844896,A,寺院,大石寺（たいせきじ）は、日蓮正宗総本山の寺院である。宗祖は日蓮。,
大峯山寺,,奈良県,,34.2534066,135.9400235,A,神社,大峯山寺（おおみねさんじ）は、奈良県吉野郡天川村にある修験道の寺院である。大峯山山上ヶ岳の山頂に建つ。,
鷲宮神社,,埼玉県,久喜市,36.0999753,139.6548687,A,神社,,
籠神社,,京都府,,35.5825856,135.1968627,A,神社,,
霧島神宮,,鹿児島県,霧島市,31.8586127,130.8712947,A,神社,,
智積院,,京都府,,34.9879368,135.7768287,A,寺院,智積院（ちしゃくいん）は、京都市東山区にある真言宗智山派の総本山の寺院。山号は五百佛山（いおぶさん）。,
相国寺,,京都府,,35.0325994,135.761858,A,寺院,相国寺（しょうこくじ）は、京都市上京区相国寺門前町にある臨済宗相国寺派の大本山の寺院。山号は萬年山（まんねんざん）。,
輪王寺,,栃木県,,36.7548552,139.6007723,A,寺院,,
彌彦神社,,新潟県,,37.7069008,138.8263409,A,神社,弥彦神社（やひこじんじゃ、旧字体: 彌彥神󠄀社󠄁）は、新潟県西蒲原郡弥彦村弥彦にある神社。式内社（名神大社）、越後国一宮。,
建長寺,,神奈川県,,35.3324309,139.555963,A,寺院,建長寺（けんちょうじ）は、神奈川県鎌倉市山ノ内にある禅宗の寺院で、臨済宗建長寺派の大本山。正式には巨福山建長興国禅寺（こふくさんけんちょうこうこくぜんじ）と号する。,
サムハラ 神社,,大阪府,,34.6789515,135.4909725,A,神社,サムハラ神社（サムハラじんじゃ）は、大阪府大阪市西区立売堀（いたちぼり）にある神社である。,
豊川稲荷,,愛知県,,34.8257995,137.3927463,A,寺院,,
久遠寺,,山梨県,身延町,35.3812636,138.4265599,A,寺院,久遠寺（くおんじ）は、山梨県南巨摩郡身延町にある、日蓮宗の総本山（祖山）。山号は身延山。,
円覚寺,,神奈川県,,35.3379538,139.54828,A,寺院,円覚寺（えんがくじ）は、神奈川県鎌倉市山ノ内にある寺院。正式には瑞鹿山円覚興聖禅寺（ずいろくさんえんがくこうしょうぜんじ 山号: 瑞鹿山）と号する。,
回向院,,東京都,墨田区,35.6933386,139.7920396,A,寺院,回向院（えこういん）は、東京都墨田区両国二丁目にある浄土宗の寺院、および過去にその別院であった東京都荒川区南千住五丁目にある寺院。,
上野東照宮,,東京都,,35.7153982,139.7706324,A,神社,上野東照宮（うえのとうしょうぐう）は、東京都台東区上野恩賜公園内にある神社。旧社格は府社。,
護国寺,,東京都,文京区,35.7211012,139.7268482,A,寺院,,
萬福寺,,京都府,宇治市,34.9140148,135.8068867,A,寺院,,
茨城県護国神社,,茨城県,,36.3746259,140.4474782,A,神社,,
朝護孫子寺,,奈良県,,34.6090885,135.6703389,A,寺院,朝護孫子寺（ちょうごそんしじ）は、奈良県生駒郡平群町信貴山にある信貴山真言宗の総本山の寺院。山号は信貴山。,
大覚寺,,京都府,,35.0286469,135.6794868,A,寺院,大覚寺（だいかくじ）は、京都市右京区嵯峨大沢町にある真言宗大覚寺派の大本山の寺院。山号は嵯峨山。,
熊野速玉大社,,和歌山県,,33.7322611,135.9836507,A,神社,,
鎌原観音堂,,群馬県,,36.5161836,138.5484,A,寺院,,
玉置神社,,奈良県,,33.9248571,135.8300095,A,神社,玉置神社（たまきじんじゃ）は、奈良県吉野郡十津川村にある神社。大峰山系の霊山の一つである玉置山の山頂直下の9合目に位置し、大峯奥駈道の靡（なびき）のひとつである。,
瑞巌寺,,宮城県,,38.3721758,141.0595579,A,寺院,,
吉備津神社,,岡山県,,34.6707449,133.8506114,A,神社,吉備津神社（きびつじんじゃ）は、岡山県岡山市北区吉備津にある神社。式内社（名神大社）、備中国一宮。,
寶山寺,,奈良県,,34.6843892,135.6864001,A,寺院,寳山寺（ほうざんじ）は、奈良県生駒市門前町にある真言律宗の大本山の寺院。山号は生駒山。,
東京大神宮,,東京都,,35.7000073,139.7468581,A,神社,東京大神宮（とうきょうだいじんぐう）は、東京都千代田区富士見二丁目にある神社。天照皇大神・豊受大神を主祭神とする。,
青蓮院,,京都府,,35.0074835,135.7833712,A,寺院,,
秩父神社,,埼玉県,秩父市,35.9976288,139.0842502,A,神社,,
熊野那智大社,,和歌山県,,33.6684719,135.890338,A,神社,,
宇治上神社,,京都府,,34.8920436,135.8114973,A,神社,宇治上神社（うじがみじんじゃ/うじかみじんじゃ）は、京都府宇治市宇治山田にある神社。式内社で、旧社格は村社。,
松岡山東慶寺,,神奈川県,鎌倉市,35.3344556,139.5456041,A,寺院,東慶寺（とうけいじ）は、神奈川県鎌倉市山ノ内にある臨済宗円覚寺派の寺院である。山号は松岡山、寺号は東慶総持禅寺。,
北海道神宮,,北海道,,43.0545817,141.3092301,A,神社,北海道神宮（ほっかいどうじんぐう）は、北海道札幌市中央区にある神社（神宮）。円山公園に隣接する。,
