name,name_kana,lat,lng,region,rank,series,categories,description,key
常陸国 出雲大社,,36.3541444,140.1842832,茨城県,A,神社,,常陸国出雲大社（ひたちのくにいずもたいしゃ）は、茨城県笠間市に存在する縁結びで有名な神社。元は出雲大社教の分祠だったが、2014年に独立した。特にパワースポットとしての評価が高く、神聖なエネルギーを感じる場所として広く認知されている常陸国出雲大社のコラム。(出典: ja.wikipedia「常陸国出雲大社」 https://ja.wikipedia.org/wiki/常陸国出雲大社),常陸国 出雲大社
息栖神社,いきすじんじゃ,35.8858155,140.6251097,茨城県,A,神社,,息栖神社（いきすじんじゃ）は、茨城県神栖市息栖にある神社。国史見在社で、旧社格は県社。 茨城県鹿嶋市の鹿島神宮、千葉県香取市の香取神宮とともに東国三社の一社である。(出典: ja.wikipedia「息栖神社」 https://ja.wikipedia.org/wiki/息栖神社),息栖神社
笠間稲荷神社,かさまいなりじんじゃ,36.3854725,140.2543843,茨城県,A,神社,,笠間稲荷神社（かさまいなりじんじゃ）は、茨城県笠間市にある神社（稲荷神社）である。旧社格は村社で、現在は神社本庁の別表神社となっている。別称胡桃下稲荷（くるみがしたいなり）、紋三郎稲荷。 五穀豊穣、商売繁盛の神として古くから厚く信仰され、関東はもとより日本各地から年間300万人を超える参拝客が訪れる。また、正月三が日の初詣には80万人以上の参拝者が訪れ、初詣参拝者数で茨城県1位を誇る。(出典: ja.wikipedia「笠間稲荷神社」 https://ja.wikipedia.org/wiki/笠間稲荷神社),笠間稲荷神社
鹿島神宮,かしまじんぐう,35.9687708,140.6315435,茨城県,A,神社,,鹿島神宮（かしまじんぐう、鹿嶋神宮）は、茨城県鹿嶋市宮中にある神社。式内社（名神大社）、常陸国一宮。旧社格は官幣大社で、現在は神社本庁の別表神社。 全国にある鹿島神社の総本社。千葉県香取市の香取神宮、茨城県神栖市の息栖神社とともに東国三社の一社東国三社（神栖市観光協会）。。また、宮中の四方拝で遥拝される一社である。(出典: ja.wikipedia「鹿島神宮」 https://ja.wikipedia.org/wiki/鹿島神宮),鹿島神宮
二荒山神社,,36.7583924,139.5963813,栃木県,A,神社,,日光二荒山神社（にっこうふたらさんじんじゃ）は、栃木県日光市にある神社。式内社（名神大社）論社、下野国一宮。旧社格は国幣中社で、現在は神社本庁の別表神社。 宗教法人登記上の正式名称は「二荒山神社」であるが、宇都宮市の二荒山神社（宇都宮二荒山神社）との区別のために地名を付して「日光二荒山神社」と称される。古くは「日光三社権現」と称された。(出典: ja.wikipedia「日光二荒山神社」 https://ja.wikipedia.org/wiki/日光二荒山神社),二荒山神社
古峯神社,ふるみねじんじゃ,36.6548173,139.5271523,栃木県,A,神社,,古峯神社（ふるみねじんじゃ）は、栃木県鹿沼市草久（くさぎゅう）にある神社。祭神は日本武尊。天狗が祭神の使いとされ、「天狗の社」としても知られる。神仏習合の時代には日光修験の道場であり、火伏や豊作・村内安全の神として庶民の崇敬を集めるなど、古峯信仰（ふるみねしんこう）の中心となった。 神社が鎮座する大芦川源流一帯は古峯ヶ原（こぶがはら）と呼ばれる。(出典: ja.wikipedia「古峯神社」 https://ja.wikipedia.org/wiki/古峯神社),古峯神社
宇都宮二荒山神社,うつのみやふたあらやまじんじゃ,36.5624338,139.8853744,栃木県,A,神社,,宇都宮二荒山神社（うつのみやふたあらやまじんじゃ、-ふたらやまじんじゃ）は、栃木県宇都宮市にある神社。式内社（名神大社）論社、下野国一宮。旧社格は国幣中社で、現在は神社本庁の別表神社。神紋は「三つ巴（菊に三つ巴）」。 正式名称は二荒山神社であるが、日光の二荒山神社（ふたらさんじんじゃ）との区別のために鎮座地名を冠して「宇都宮二荒山神社」と呼ばれる。古くは宇都宮大明神などとも呼ばれた。(出典: ja.wikipedia「宇都宮二荒山神社」 https://ja.wikipedia.org/wiki/宇都宮二荒山神社),宇都宮二荒山神社
日光東照宮,にっこうとうしょうぐう,36.757705,139.5990943,栃木県,A,神社,,日光東照宮（にっこうとうしょうぐう）は、栃木県日光市にある神社。江戸幕府初代将軍・徳川家康を神格化した東照大権現（とうしょうだいごんげん）を主祭神として祀る、日本全国の東照宮の総本社的存在である。また久能山東照宮・上野東照宮と共に三大東照宮の一つに数えられる。(出典: ja.wikipedia「日光東照宮」 https://ja.wikipedia.org/wiki/日光東照宮),日光東照宮
輪王寺,りんのうじ,36.7548552,139.6007723,栃木県,A,寺院,,輪王寺（りんのうじ）は、栃木県日光市にある寺院で、天台宗の門跡寺院である。明治初年の神仏分離令以後、東照宮、二荒山神社とあわせて「二社一寺」と称される。近世まではこれらを総称して「日光山」と呼ばれていた。現在、「日光山」は輪王寺の山号とされているCM（後述）やウェブサイトでも『日光山 輪王寺』として宣伝している。。また、「輪王寺」は日光山中にある寺院群の総称でもある。(出典: ja.wikipedia「輪王寺」 https://ja.wikipedia.org/wiki/輪王寺),輪王寺
鑁阿寺,ばんなじ,36.3375432,139.4521176,栃木県,A,寺院,,鑁阿寺（ばんなじ）は、栃木県足利市家富町にある真言宗大日派の本山。「足利氏宅跡（鑁阿寺）」（あしかがしたくあと ばんなじ）として国の史跡に指定されている。本堂は国宝に指定されている。日本100名城の一つ。(出典: ja.wikipedia「鑁阿寺」 https://ja.wikipedia.org/wiki/鑁阿寺),鑁阿寺
