name,name_kana,prefecture,municipality,lat,lng,rank,category,description,official_url
諏訪神社,,長野県,,36.6804528,138.2185982,Z,神社,,
諏訪神社,,新潟県,,36.9271418,138.6467001,Z,神社,,
諏訪神社,,新潟県,,36.9528086,138.6947265,Z,神社,,
諏訪神社,,岐阜県,,35.538898,136.8422858,Z,神社,,
諏訪神社,,岐阜県,,35.5775291,136.839748,Z,神社,,
諏訪神社,,長野県,,36.6615919,138.1735479,Z,神社,,
諏訪神社,,新潟県,,37.0452317,138.6633689,Z,神社,,
諏訪神社,,新潟県,,36.9871293,138.6851455,Z,神社,,
諏訪神社,,新潟県,,36.9140459,138.644471,Z,神社,,
諏訪神社,,新潟県,,36.9613621,138.5871286,Z,神社,,
諏訪神社,,岐阜県,,35.3566951,137.0783699,Z,神社,,
諏訪神社,,静岡県,,34.7001981,138.1430284,Z,神社,,
諏訪神社,,東京都,,35.7267577,139.3628399,Z,神社,,
諏訪神社,,愛媛県,,33.8107698,133.1038894,Z,神社,,
諏訪神社,,長野県,,36.2361992,138.5620194,Z,神社,,
諏訪神社,,長野県,,36.6172243,138.1830738,Z,神社,,
諏訪神社,,和歌山県,,33.6958847,135.4247451,Z,神社,,
諏訪神社,,和歌山県,,33.6773254,135.970389,Z,神社,,
諏訪神社,,千葉県,,35.1170225,140.058177,Z,神社,,
諏訪神社,,岐阜県,,35.8744125,137.2109697,Z,神社,,
諏訪神社,,神奈川県,,35.3397248,139.3251044,Z,神社,,
諏訪神社,,新潟県,,37.5196181,138.9549873,Z,神社,,
諏訪神社,,宮城県,,38.1884722,140.6671576,Z,神社,,
諏訪神社,,福島県,,37.4665042,141.0271818,Z,神社,,
諏訪神社,,埼玉県,,36.0012751,139.6245667,Z,神社,,
諏訪神社,,長野県,,36.3490287,138.4192808,Z,神社,,
諏訪神社,,茨城県,,36.50364,140.356515,Z,神社,,
諏訪神社,,茨城県,,36.7604132,140.3835241,Z,神社,,
諏訪神社,,茨城県,,36.6973158,140.3878867,Z,神社,,
諏訪神社,,茨城県,,36.6728765,140.2993325,Z,神社,,
諏訪神社,,茨城県,,36.5823972,140.2765432,Z,神社,,
諏訪神社,,茨城県,,36.351725,140.3794752,Z,神社,,
諏訪神社,,茨城県,,36.3644726,140.3295453,Z,神社,,
諏訪神社,,茨城県,,36.2922988,140.3684796,Z,神社,,
諏訪神社,,茨城県,,36.2655597,140.4431371,Z,神社,,
諏訪神社,,茨城県,,36.3903042,140.5131179,Z,神社,,
諏訪神社,,群馬県,,36.3110241,139.0728417,Z,神社,,
諏訪神社,,群馬県,,36.3001661,139.0000318,Z,神社,,
諏訪神社,,宮城県,,38.0218962,140.8155215,Z,神社,,
諏訪神社,,宮城県,,38.1116827,140.658927,Z,神社,,
諏訪神社,,宮城県,,37.8877809,140.8204411,Z,神社,,
諏訪神社,,宮城県,,37.9762148,140.8624571,Z,神社,,
諏訪神社,,福島県,,37.5308743,139.7244046,Z,神社,,
諏訪神社,,群馬県,,36.3237616,139.1107334,Z,神社,,
諏訪神社,,宮城県,,38.4770014,141.1250279,Z,神社,,
諏訪神社,,宮城県,,38.4584129,141.2518121,Z,神社,,
諏訪神社,,宮城県,,38.9020064,141.6468794,Z,神社,,
諏訪神社,,宮城県,,38.6192679,140.905281,Z,神社,,
諏訪神社,,宮城県,,38.5821058,140.9498246,Z,神社,,
諏訪神社,,熊本県,,32.423644,130.4067469,Z,神社,,
諏訪神社,,埼玉県,,35.985664,138.8360624,Z,神社,,
諏訪神社,,埼玉県,,35.9659453,138.9771717,Z,神社,,
諏訪神社,,静岡県,,34.7495007,137.8274952,Z,神社,,
諏訪神社,,埼玉県,,35.8739657,139.6162164,Z,神社,,
諏訪神社,,群馬県,,36.3378423,138.7350926,Z,神社,,
諏訪神社,,東京都,,35.541295,139.4775644,Z,神社,,
諏訪神社,,群馬県,,36.6603356,139.0731774,Z,神社,,
諏訪神社,,群馬県,,36.230231,138.912122,Z,神社,,
諏訪神社,,滋賀県,,34.9260497,135.9187743,Z,神社,,
諏訪神社,,鳥取県,,35.3919712,133.383067,Z,神社,,
諏訪神社,,宮城県,,38.631583,141.0415767,Z,神社,,
諏訪神社,,長野県,,36.7529009,138.3192349,Z,神社,,
諏訪神社,,福井県,,36.0572177,136.2603315,Z,神社,,
諏訪神社,,神奈川県,,35.4202667,139.4772083,Z,神社,,
諏訪神社,,福井県,,36.1216404,136.2628489,Z,神社,,
諏訪神社,,福井県,,36.1163499,136.2843064,Z,神社,,
諏訪神社,,福井県,,35.9768172,136.1749711,Z,神社,,
諏訪神社,,福井県,,36.1230062,136.2312385,Z,神社,,
諏訪神社,,福井県,,36.1367823,136.2633527,Z,神社,,
諏訪神社,,長野県,,36.1960567,137.9730149,Z,神社,,
諏訪神社,,長野県,,36.1581154,137.9712989,Z,神社,,
諏訪神社,,神奈川県,,35.5493514,139.6434174,Z,神社,,
諏訪神社,,新潟県,,37.8973358,139.0937819,Z,神社,,
諏訪神社,,福島県,,37.7670531,140.9507665,Z,神社,,
諏訪神社,,埼玉県,,36.1309538,139.5968042,Z,神社,,
諏訪神社,,新潟県,,37.9220256,139.1006537,Z,神社,,
諏訪神社,,新潟県,,37.9306028,139.1276649,Z,神社,,
諏訪神社,,新潟県,,37.909923,139.1172391,Z,神社,,
諏訪神社,,徳島県,,34.0654688,134.3649245,Z,神社,,
諏訪神社,,大阪府,,34.5499904,135.4550746,Z,神社,,
諏訪神社,,愛知県,,34.9232739,137.5363031,Z,神社,,
諏訪神社,,神奈川県,,35.4279778,139.5541951,Z,神社,,
諏訪神社,,石川県,,36.610721,136.6811553,Z,神社,,
諏訪神社,,福島県,,37.4922356,139.8735507,Z,神社,,
諏訪神社,,群馬県,,36.2402538,139.0812579,Z,神社,,
諏訪神社,,東京都,,35.6773493,139.5542865,Z,神社,,
諏訪神社,,愛知県,,34.829859,137.3630255,Z,神社,,
諏訪神社,,東京都,,35.6777083,139.2896634,Z,神社,,
諏訪神社,,神奈川県,,35.4412031,139.3836057,Z,神社,,
諏訪神社,,愛知県,,35.1798837,136.8530304,Z,神社,,
諏訪神社,,千葉県,,35.1667374,139.8225006,Z,神社,,
諏訪神社,,神奈川県,,35.3257569,139.611067,Z,神社,,
諏訪神社,,東京都,,35.7703313,139.64634,Z,神社,,
諏訪神社,,群馬県,,36.3481107,138.957273,Z,神社,,
諏訪神社,,神奈川県,,35.2783317,139.6712855,Z,神社,,
諏訪神社,,神奈川県,,35.295656,139.5598437,Z,神社,,
諏訪神社,,埼玉県,,36.1741047,139.3294662,Z,神社,,
諏訪神社,,山梨県,,35.7360006,138.7106965,Z,神社,,
諏訪神社,,群馬県,,36.2564625,139.3700615,Z,神社,,
諏訪神社,,群馬県,,36.2735522,139.1124934,Z,神社,,
諏訪神社,,神奈川県,,35.2019128,139.6058686,Z,神社,,
諏訪神社,,神奈川県,,35.142458,139.6243346,Z,神社,,
諏訪神社,,神奈川県,,35.436507,139.6393307,Z,神社,,
諏訪神社,,新潟県,,37.9111139,139.0688511,Z,神社,,
諏訪神社,,群馬県,,36.3509257,139.0179966,Z,神社,,
諏訪神社,,茨城県,,36.3048918,140.5608229,Z,神社,,
諏訪神社,,愛知県,,35.3243554,136.8959139,Z,神社,,
諏訪神社,,静岡県,,34.785551,138.0638229,Z,神社,,
諏訪神社,,新潟県,,37.8824886,138.404935,Z,神社,,
諏訪神社,,千葉県,,34.9352851,139.9509685,Z,神社,,
諏訪神社,,新潟県,,37.5866509,138.894963,Z,神社,,
諏訪神社,,新潟県,,37.5553972,138.8779542,Z,神社,,
諏訪神社,,新潟県,,37.5528143,138.8769445,Z,神社,,
諏訪神社,,新潟県,,37.5323316,138.8690992,Z,神社,,
諏訪神社,,長野県,,35.3256768,137.6303268,Z,神社,,
諏訪神社,,鳥取県,,35.3872527,134.2867097,Z,神社,,
諏訪神社,,新潟県,,37.6110206,138.950989,Z,神社,,
諏訪神社,,新潟県,,37.6145365,138.946456,Z,神社,,
諏訪神社,,静岡県,,34.9038909,137.8133421,Z,神社,,
諏訪神社,,愛知県,,34.9565126,137.1507828,Z,神社,,
諏訪神社,,愛知県,,35.0127346,136.8916666,Z,神社,,
諏訪神社,,群馬県,,36.3349042,139.3821822,Z,神社,,
諏訪神社,,愛知県,,35.0678039,137.0184488,Z,神社,,
諏訪神社,,山梨県,,35.6885672,138.5621098,Z,神社,,
諏訪神社,,山梨県,,35.6903314,138.5647341,Z,神社,,
諏訪神社,,静岡県,,34.8110463,137.8318198,Z,神社,,
諏訪神社,,山梨県,,35.5929424,138.5275115,Z,神社,,
諏訪神社,,新潟県,,37.1784752,138.7484921,Z,神社,,
諏訪神社,,新潟県,,37.1342889,138.7504323,Z,神社,,
諏訪神社,,兵庫県,,34.7673871,134.8654013,Z,神社,,
諏訪神社,,兵庫県,,34.9144435,135.1974273,Z,神社,,
諏訪神社,,群馬県,,36.4027478,138.9551365,Z,神社,,
諏訪神社,,静岡県,,35.1103257,137.8628766,Z,神社,,
諏訪神社,,青森県,,40.5165513,141.519089,Z,神社,,
諏訪神社,,岐阜県,,35.4558236,136.7082727,Z,神社,,
諏訪神社,,鹿児島県,,32.0532101,130.6126283,Z,神社,,
諏訪神社,,岐阜県,,35.4881045,136.6642168,Z,神社,,
諏訪神社,,岐阜県,,35.4629855,136.7776836,Z,神社,,
諏訪神社,,神奈川県,,35.4463283,139.3264858,Z,神社,,
諏訪神社,,新潟県,,37.4225435,138.8655574,Z,神社,,
諏訪神社,,新潟県,,37.4404618,138.8781686,Z,神社,,
諏訪神社,,青森県,,40.6212835,140.4737929,Z,神社,,
諏訪神社,,神奈川県,,35.3634486,139.4972248,Z,神社,,
諏訪神社,,群馬県,,36.279643,139.1177424,Z,神社,,
諏訪神社,,青森県,,40.4153059,141.3197265,Z,神社,,
諏訪神社,,新潟県,,37.0393588,137.8460088,Z,神社,,
諏訪神社,,島根県,,35.4084101,133.2095529,Z,神社,,
諏訪神社,,福岡県,,33.209553,130.5003368,Z,神社,,
諏訪神社,,長野県,,35.9689324,138.6386544,Z,神社,,
諏訪神社,,青森県,,40.8238801,140.763691,Z,神社,,
諏訪神社,,千葉県,,35.0537493,140.035772,Z,神社,,
諏訪神社,,千葉県,,34.9559565,139.7961773,Z,神社,,
諏訪神社,,千葉県,,35.1447384,139.9691639,Z,神社,,
諏訪神社,,千葉県,,35.0475608,139.9582194,Z,神社,,
諏訪神社,,長野県,,36.5735868,138.1606491,Z,神社,,
諏訪神社,,福岡県,,33.1489651,130.5129797,Z,神社,,
諏訪神社,,千葉県,,35.8661729,139.9761482,Z,神社,,
諏訪神社,,神奈川県,,35.3198992,139.5464403,Z,神社,,
諏訪神社,,長野県,,36.1629722,137.8671843,Z,神社,,
諏訪神社,,大阪府,,34.6827781,135.6186978,Z,神社,,
諏訪神社,,秋田県,,39.4576813,140.4798267,Z,神社,,
諏訪神社,,福岡県,,33.765675,130.4787592,Z,神社,,
諏訪神社,,青森県,,40.4160412,141.304776,Z,神社,,
諏訪神社,,秋田県,,39.7232805,140.11568,Z,神社,,
諏訪神社,,秋田県,,39.6927807,140.1589964,Z,神社,,
諏訪神社,,長野県,,35.5541925,137.7257598,Z,神社,,
諏訪神社,,山梨県,,35.4902493,138.5384463,Z,神社,,
諏訪神社,,長野県,,35.5316951,137.8376437,Z,神社,,
諏訪神社,,長野県,,35.2682582,137.7604078,Z,神社,,
諏訪神社,,群馬県,,36.3194572,139.0962093,Z,神社,,
諏訪神社,,群馬県,,36.3011478,139.1781387,Z,神社,,
諏訪神社,,秋田県,,39.9597788,140.0746209,Z,神社,,
諏訪神社,,秋田県,,39.3787606,140.2997191,Z,神社,,
諏訪神社,,秋田県,,39.3168259,140.2589616,Z,神社,,
諏訪神社,,山形県,,38.2453122,140.3395494,Z,神社,,
諏訪神社,,福井県,,35.4967252,135.5777115,Z,神社,,
諏訪神社,,大阪府,,34.8746569,135.5535451,Z,神社,,
諏訪神社,,神奈川県,,35.4460313,139.3681667,Z,神社,,
諏訪神社,,神奈川県,,35.5006761,139.3087756,Z,神社,,
諏訪神社,,岩手県,,39.0084471,141.6144106,Z,神社,,
諏訪神社,,長野県,,35.5976525,137.9444763,Z,神社,,
諏訪神社,,兵庫県,,35.65983,134.7583913,Z,神社,,
諏訪神社,,秋田県,,40.3210874,140.5575234,Z,神社,,
諏訪神社,,秋田県,,40.2945002,140.5995193,Z,神社,,
諏訪神社,,岐阜県,,35.4090017,136.5904092,Z,神社,,
諏訪神社,,群馬県,,36.3034907,139.0647963,Z,神社,,
諏訪神社,,秋田県,,39.5784812,140.2646876,Z,神社,,
諏訪神社,,群馬県,,36.3289389,139.0799017,Z,神社,,
諏訪神社,,新潟県,,38.021834,138.3408642,Z,神社,,
諏訪神社,,秋田県,,39.3987392,140.3682405,Z,神社,,
諏訪神社,,千葉県,,34.9651032,139.8758368,Z,神社,,
諏訪神社,,長野県,,36.4318577,138.1790699,Z,神社,,
諏訪神社,,群馬県,,36.2941018,138.8268403,Z,神社,,
諏訪神社,,長野県,,36.1801085,137.9850005,Z,神社,,
諏訪神社,,新潟県,,37.1581061,138.9687862,Z,神社,,
諏訪神社,,山形県,,39.0747166,139.8749904,Z,神社,,
諏訪神社,,新潟県,,37.6942283,139.063374,Z,神社,,
諏訪神社,,新潟県,,37.6976952,139.0634488,Z,神社,,
諏訪神社,,埼玉県,,35.9767236,139.2846939,Z,神社,,
諏訪神社,,長崎県,,32.7224543,130.3552699,Z,神社,,
諏訪神社,,新潟県,,38.0579543,138.4225237,Z,神社,,
諏訪神社,,高知県,,33.4095082,133.0254865,Z,神社,,
諏訪神社,,秋田県,,39.2952427,140.1142702,Z,神社,,
諏訪神社,,新潟県,,37.9137743,138.4825272,Z,神社,,
諏訪神社,,福井県,,35.6514954,136.1408046,Z,神社,,
諏訪神社,,岡山県,,34.5024212,133.6382633,Z,神社,,
諏訪神社,,岡山県,,34.5624741,133.6514124,Z,神社,,
諏訪神社,,新潟県,,37.083388,138.2258395,Z,神社,,
諏訪神社,,新潟県,,37.0488183,138.2377133,Z,神社,,
諏訪神社,,新潟県,,36.991153,138.2065209,Z,神社,,
諏訪神社,,東京都,,35.6069701,139.3274242,Z,神社,,
諏訪神社,,新潟県,,37.6541938,139.4783503,Z,神社,,
諏訪神社,,愛知県,,34.8705959,137.5174932,Z,神社,,
諏訪神社,,新潟県,,37.5248479,138.8751296,Z,神社,,
諏訪神社,,新潟県,,37.609459,138.9058832,Z,神社,,
諏訪神社,,新潟県,,37.5595611,138.8731303,Z,神社,,
諏訪神社,,新潟県,,37.8425946,138.9959087,Z,神社,,
諏訪神社,,愛媛県,,34.0529195,132.9245903,Z,神社,,
諏訪神社,,新潟県,,37.5086494,138.8561893,Z,神社,,
諏訪神社,,新潟県,,37.453363,138.7982259,Z,神社,,
諏訪神社,,新潟県,,37.3798927,138.7765102,Z,神社,,
諏訪神社,,新潟県,,37.2341366,138.9785507,Z,神社,,
諏訪神社,,長野県,,36.0595522,138.5431338,Z,神社,,
諏訪神社,,長野県,,36.3570651,138.6376408,Z,神社,,
諏訪神社,,新潟県,,37.1339247,138.2216231,Z,神社,,
諏訪神社,,新潟県,,37.1423952,138.2224743,Z,神社,,
諏訪神社,,秋田県,,39.4080108,140.4838456,Z,神社,,
諏訪神社,,長野県,,36.2761669,138.3981926,Z,神社,,
諏訪神社,,新潟県,,37.9979473,139.3578027,Z,神社,,
諏訪神社,,新潟県,,38.034968,139.3755244,Z,神社,,
諏訪神社,,新潟県,,38.2587477,139.5321632,Z,神社,,
諏訪神社,,新潟県,,37.8446908,139.1947253,Z,神社,,
諏訪神社,,新潟県,,37.9037511,139.0645194,Z,神社,,
諏訪神社,,新潟県,,38.2877573,138.4430763,Z,神社,,
諏訪神社,,秋田県,,39.4601916,140.5729455,Z,神社,,
四所神社,,福岡県,,33.6046464,130.2268786,Z,神社,,
東照寺,,神奈川県,,35.5376159,139.632594,Z,寺院,,
東照寺,,愛知県,,35.0165469,137.0096626,Z,寺院,,
東照寺,,北海道,,42.4115532,139.8800964,Z,寺院,,
