name,name_kana,lat,lng,region,series,categories,description,key
浦添伊祖郵便局,,26.254806,127.720137,沖縄県,郵便局,普通,伊祖3-3-15,浦添伊祖郵便局
屋富祖郵便局,,26.248682,127.710503,沖縄県,郵便局,普通,屋富祖2-3-1,屋富祖郵便局
浦添宮城郵便局,,26.249473,127.703694,沖縄県,郵便局,普通,宮城1-32-3,浦添宮城郵便局
浦添経塚郵便局,,26.237808,127.721915,沖縄県,郵便局,普通,経塚634-3,浦添経塚郵便局
浦添城間郵便局,,26.257611,127.710054,沖縄県,郵便局,普通,城間3-6-9,浦添城間郵便局
浦添港川郵便局,,26.261361,127.717165,沖縄県,郵便局,普通,城間4-40-6,浦添港川郵便局
浦添勢理客郵便局,,26.24389,127.694334,沖縄県,郵便局,普通,勢理客2-13-7,浦添勢理客郵便局
浦添西原郵便局,,26.2558015133,127.740007261,沖縄県,郵便局,普通,西原2-1-1,浦添西原郵便局
浦添前田郵便局,,26.236922,127.735017,沖縄県,郵便局,普通,前田4-7-2,浦添前田郵便局
浦添郵便局,,26.244946,127.726942,沖縄県,郵便局,普通,仲間3-3-1,浦添郵便局
浦添内間郵便局,,26.236224,127.704444,沖縄県,郵便局,普通,内間2-11-19,浦添内間郵便局
浦添牧港郵便局,,26.265222,127.723526,沖縄県,郵便局,普通,牧港1-13-12,浦添牧港郵便局
名護宇茂佐郵便局,,26.6021296522,127.965121797,沖縄県,郵便局,普通,宇茂佐の森5-1-1,名護宇茂佐郵便局
屋部郵便局,,26.600975,127.952467,沖縄県,郵便局,普通,屋部48,屋部郵便局
済井出簡易郵便局,,26.675998,128.019127,沖縄県,郵便局,簡易,済井出1192,済井出簡易郵便局
久志郵便局,,26.549261,128.052517,沖縄県,郵便局,普通,瀬嵩45,久志郵便局
名護大中郵便局,,26.59056,127.98341,沖縄県,郵便局,普通,大中1-3-7,名護大中郵便局
名護大北郵便局,,26.601782,127.99277,沖縄県,郵便局,普通,大北1-9-20,名護大北郵便局
羽地郵便局,,26.62592,128.025517,沖縄県,郵便局,普通,仲尾次488,羽地郵便局
名護郵便局,,26.585422,127.98591,沖縄県,郵便局,普通,東江1-11-14,名護郵便局
久辺郵便局,,26.521984,128.021437,沖縄県,郵便局,普通,豊原224-35,久辺郵便局
屋我地郵便局,,26.657278,128.011072,沖縄県,郵便局,普通,饒平名370-2,屋我地郵便局
兼城郵便局,,26.146761,127.69234,沖縄県,郵便局,普通,賀数224,兼城郵便局
喜屋武郵便局,,26.092153,127.663037,沖縄県,郵便局,普通,喜屋武430-4,喜屋武郵便局
糸満新島郵便局,,26.129456,127.672841,沖縄県,郵便局,普通,糸満1366,糸満新島郵便局
糸満郵便局,,26.122234,127.670119,沖縄県,郵便局,普通,真栄里2016,糸満郵便局
三和郵便局,,26.104736,127.689396,沖縄県,郵便局,普通,真壁4-1,三和郵便局
糸満西崎郵便局,,26.142122,127.670286,沖縄県,郵便局,普通,西崎6-5-1,糸満西崎郵便局
高嶺郵便局,,26.127929,127.691923,沖縄県,郵便局,普通,大里247,高嶺郵便局
潮平郵便局,,26.149538,127.672452,沖縄県,郵便局,普通,潮平771-2,潮平郵便局
米須簡易郵便局,,26.094904,127.697951,沖縄県,郵便局,簡易,米須211,米須簡易郵便局
越来郵便局,,26.342884,127.813487,沖縄県,郵便局,普通,越来1-1-43,越来郵便局
諸見郵便局,,26.32608,127.793406,沖縄県,郵便局,普通,久保田1-1-25,諸見郵便局
沖縄郵便局,,26.33183,127.799183,沖縄県,郵便局,普通,胡屋4-2-16,沖縄郵便局
泡瀬郵便局,,26.32366,127.82619,沖縄県,郵便局,普通,高原5-3-12,泡瀬郵便局
沖縄高原郵便局,,26.317772,127.824521,沖縄県,郵便局,普通,高原7-22-1,沖縄高原郵便局
山里郵便局,,26.320664,127.785935,沖縄県,郵便局,普通,山内2-5-1,山里郵便局
安慶田郵便局,,26.337829,127.806877,沖縄県,郵便局,普通,住吉1-8-14,安慶田郵便局
松本郵便局,,26.352383,127.819848,沖縄県,郵便局,普通,松本969-3,松本郵便局
沖縄照屋郵便局,,26.334718,127.81646,沖縄県,郵便局,普通,照屋2-17-5,沖縄照屋郵便局
知花郵便局,,26.361239,127.813591,沖縄県,郵便局,普通,知花6-1-22,知花郵便局
沖縄パークアベニュー郵便局,,26.337968,127.801127,沖縄県,郵便局,普通,中央1-20-14,沖縄パークアベニュー郵便局
沖縄かりゆし郵便局,,26.366592,127.819299,沖縄県,郵便局,普通,登川1-2-7,沖縄かりゆし郵便局
沖縄美里郵便局,,26.3447376433,127.821498355,沖縄県,郵便局,普通,東1-25-8,沖縄美里郵便局
座安郵便局,,26.16462,127.66773,沖縄県,郵便局,普通,座安338-3,座安郵便局
豊見城郵便局,,26.175592,127.684757,沖縄県,郵便局,普通,上田531-1,豊見城郵便局
真玉橋郵便局,,26.1903763758,127.690946537,沖縄県,郵便局,普通,真玉橋278,真玉橋郵便局
豊見城団地内郵便局,,26.167927,127.696867,沖縄県,郵便局,普通,平良158-11,豊見城団地内郵便局
安慶名郵便局,,26.3739373661,127.856024059,沖縄県,郵便局,普通,田場2072,安慶名郵便局
東具志川郵便局,,26.356051,127.86976,沖縄県,郵便局,普通,具志川137,東具志川郵便局
志林川郵便局,,26.357644,127.837086,沖縄県,郵便局,普通,高江洲978-1,志林川郵便局
津堅簡易郵便局,,26.247258,127.938314,沖縄県,郵便局,簡易,勝連津堅1229,津堅簡易郵便局
与勝郵便局,,26.334026,127.883591,沖縄県,郵便局,普通,勝連南風原4064,与勝郵便局
勝連郵便局,,26.316306,127.896617,沖縄県,郵便局,普通,勝連平安名2925-2,勝連郵便局
石川城前郵便局,,26.424876,127.823679,沖縄県,郵便局,普通,石川412,石川城前郵便局
石川東恩納郵便局,,26.4140641079,127.823620785,沖縄県,郵便局,普通,石川東恩納593,石川東恩納郵便局
石川郵便局,,26.433487,127.832066,沖縄県,郵便局,普通,石川東山本町1-1-2,石川郵便局
具志川川崎簡易郵便局,,26.38277,127.845706,沖縄県,郵便局,簡易,川崎99-1（みねアパート101）,具志川川崎簡易郵便局
天願簡易郵便局,,26.3868662212,127.858424712,沖縄県,郵便局,簡易,天願1357-1,天願簡易郵便局
具志川郵便局,,26.368771,127.851484,沖縄県,郵便局,普通,平良川90-2,具志川郵便局
具志川豊原簡易郵便局,,26.349245,127.851123,沖縄県,郵便局,簡易,豊原748-5,具志川豊原簡易郵便局
与那城郵便局,,26.322944,127.908034,沖縄県,郵便局,普通,与那城屋慶名1093,与那城郵便局
上原簡易郵便局,,26.371719,127.983112,沖縄県,郵便局,簡易,与那城上原109,上原簡易郵便局
平安座郵便局,,26.341419,127.951303,沖縄県,郵便局,普通,与那城平安座8146-9,平安座郵便局
伊良部郵便局,,24.8258190356,125.170459347,沖縄県,郵便局,普通,伊良部国仲86-16,伊良部郵便局
佐良浜郵便局,,24.841378,125.209404,沖縄県,郵便局,普通,伊良部前里添365-2,佐良浜郵便局
下地郵便局,,24.748139,125.277621,沖縄県,郵便局,普通,下地上地506-1,下地郵便局
上野郵便局,,24.740642,125.333005,沖縄県,郵便局,普通,上野新里511-11,上野郵便局
砂川簡易郵便局,,24.734032,125.353199,沖縄県,郵便局,簡易,城辺砂川190,砂川簡易郵便局
長間郵便局,,24.763918,125.366058,沖縄県,郵便局,普通,城辺長間1420-5,長間郵便局
城辺郵便局,,24.751337,125.393361,沖縄県,郵便局,普通,城辺福里1093,城辺郵便局
平良下里郵便局,,24.797523,125.279121,沖縄県,郵便局,普通,平良下里442,平良下里郵便局
狩俣簡易郵便局,,24.89529,125.275841,沖縄県,郵便局,簡易,平良狩俣1435,狩俣簡易郵便局
西辺簡易郵便局,,24.831048,125.29634,沖縄県,郵便局,簡易,平良西原418-2,西辺簡易郵便局
平良西里郵便局,,24.804399,125.280029,沖縄県,郵便局,普通,平良西里142,平良西里郵便局
宮古郵便局,,24.798255,125.290769,沖縄県,郵便局,普通,平良西里782-7,宮古郵便局
池間郵便局,,24.92412,125.244704,沖縄県,郵便局,普通,平良池間186-2,池間郵便局
